date,window_start,l1_norm,l2_norm,total_persistence,max_persistence,n_loops,mean_birth,mean_death,rolling_mean_persistence,rolling_var,spectral_power
1932-07-30,1932-06-01,2.03225124840422e-5,1.85550399697761e-4,0.0194706126472078,0.00635033503945111,7,0.0189337450275138,0.0217152611199721,0.010970669632320773,5.653590499348253e-5,6.017835967653282e-4
1932-08-01,1932-06-02,2.03225124840422e-5,1.85550399697761e-4,0.0194706126472078,0.00635033503945111,7,0.0189337450275138,0.0217152611199721,0.011271327033820628,5.7047132577764804e-5,6.227171506658325e-4
1932-08-02,1932-06-03,2.37175420189631e-5,2.00677980232877e-4,0.0215343932854134,0.00635033503945111,7,0.0189337450275138,0.02201008692543,0.011608704994315926,5.8190037089147126e-5,6.477304642874848e-4
1932-08-03,1932-06-04,2.37175420189631e-5,2.00677980232877e-4,0.0215343932854134,0.00635033503945111,7,0.0189337450275138,0.02201008692543,0.011905241750317333,5.9620676255672285e-5,6.710881960850737e-4
1932-08-04,1932-06-06,1.89882931091452e-5,1.82623363082153e-4,0.0171927817497406,0.00635033503945111,6,0.0146569564633664,0.0175224200883232,0.012084544915759166,5.988242568075729e-5,6.845163971195788e-4
1932-08-05,1932-06-07,1.89882931091452e-5,1.82623363082153e-4,0.0171927817497406,0.00635033503945111,6,0.0146569564633664,0.0175224200883232,0.012222862267833902,6.032875160030888e-5,6.930726241668784e-4
1932-08-06,1932-06-08,1.89882931091452e-5,1.82623363082153e-4,0.0171927817497406,0.00635033503945111,6,0.0146569564633664,0.0175224200883232,0.012342753674976274,6.079674124857898e-5,6.983846170469289e-4
1932-08-08,1932-06-09,1.89882931091452e-5,1.82623363082153e-4,0.0171927817497406,0.00635033503945111,6,0.0146569564633664,0.0175224200883232,0.012503486286612537,6.104320223155658e-5,7.025949293597413e-4
1932-08-09,1932-06-10,1.56850210896429e-5,1.6794865092599e-4,0.0140822253528668,0.00635033503945111,6,0.0142653380407052,0.0166123755995163,0.012588243370702041,6.09424335694307e-5,7.029813915759135e-4
1932-08-10,1932-06-11,1.56850210896429e-5,1.6794865092599e-4,0.0140822253528668,0.00635033503945111,6,0.0142653380407052,0.0166123755995163,0.012673000454791545,6.082700416586943e-5,7.010706485741003e-4
1932-08-11,1932-06-13,1.56850210896429e-5,1.6794865092599e-4,0.0140822253528668,0.00635033503945111,6,0.0142653380407052,0.0166123755995163,0.012771764131961197,6.060342560000646e-5,6.961083318550794e-4
1932-08-12,1932-06-14,1.16646632019575e-5,1.48854258631038e-4,0.0106825817291542,0.00635033503945111,5,0.0158145982752005,0.0179511146210313,0.012874559023030634,5.961524108350615e-5,6.881035358591869e-4
1932-08-13,1932-06-15,2.85901103554812e-5,2.61838367247322e-4,0.0189103278594152,0.0082277461302609,6,0.016333912590781,0.0194856339006835,0.013142953796478191,5.9172500413847264e-5,6.619894909370008e-4
1932-08-15,1932-06-16,3.63467103224082e-5,3.12158959598688e-4,0.0210066709738082,0.00844667815384421,6,0.016333912590781,0.019835024419749,0.013467522780421239,5.889907296108601e-5,6.277151062429459e-4
1932-08-16,1932-06-17,3.63467103224082e-5,3.12158959598688e-4,0.0210066709738082,0.00844667815384421,6,0.016333912590781,0.019835024419749,0.013817853058132436,5.7902223249911344e-5,5.892492373329429e-4
1932-08-17,1932-06-18,3.63467103224082e-5,3.12158959598688e-4,0.0210066709738082,0.00844667815384421,6,0.016333912590781,0.019835024419749,0.014224347083661926,5.526683144821079e-5,5.445430831667917e-4
1932-08-18,1932-06-20,3.67984554661216e-5,3.12481713852487e-4,0.0223522436640262,0.00844667815384421,7,0.0157479081156629,0.0189410857819524,0.01463732560742733,5.3241504046669346e-5,5.002564266285734e-4
1932-08-19,1932-06-21,2.91756522880601e-5,2.66425626897005e-4,0.0191719281037107,0.00844667815384421,6,0.0158795281349979,0.0190748494856163,0.01497182556513261,5.051420545430964e-5,4.639861229010359e-4
1932-08-20,1932-06-22,2.83273712412418e-5,2.62033166177192e-4,0.0186720150305995,0.00844667815384421,6,0.0148054240656314,0.0179174265707313,0.015296327261375668,4.7484681599037866e-5,4.269147742220992e-4
1932-08-22,1932-06-23,2.80398853094954e-5,2.61445893328131e-4,0.0189015044421723,0.00844667815384421,7,0.0190008843326249,0.0217010992529353,0.015573492729142933,4.552611600387845e-5,3.929159413144934e-4
1932-08-23,1932-06-24,2.79291467190676e-5,2.61399851902343e-4,0.0182366922803786,0.00844667815384421,6,0.0200867217626483,0.0231261704760447,0.015881826822202426,4.225442710229642e-5,3.525239359416484e-4
1932-08-24,1932-06-25,2.79291467190676e-5,2.61399851902343e-4,0.0182366922803786,0.00844667815384421,6,0.0200867217626483,0.0231261704760447,0.016190160915261917,3.8788717970218836e-5,3.105452355879931e-4
1932-08-25,1932-06-27,3.08028900077204e-5,2.79654890191319e-4,0.0182755556789537,0.00844667815384421,5,0.0221203300167897,0.0257754411525804,0.016512495546156376,3.475352365887236e-5,2.6596917194360856e-4
1932-08-26,1932-06-28,3.08028900077204e-5,2.79654890191319e-4,0.0182755556789537,0.00844667815384421,5,0.0221203300167897,0.0257754411525804,0.016834830177050834,3.0506289318395568e-5,2.21862103615498e-4
1932-08-27,1932-06-29,3.08028900077204e-5,2.79654890191319e-4,0.0182755556789537,0.00844667815384421,5,0.0221203300167897,0.0257754411525804,0.01716501231555811,2.580360684940513e-5,1.784068475652393e-4
1932-08-29,1932-06-30,2.77180805789923e-5,2.61279614557781e-4,0.0173158361472336,0.00844667815384421,5,0.0221203300167897,0.0255834972462364,0.017476000063430985,2.0866286830831137e-5,1.4008135460082165e-4
1932-08-30,1932-07-01,2.34491740500172e-5,2.41041723599516e-4,0.0153431015537224,0.00844667815384421,6,0.0203199468819462,0.0228771304742333,0.017744283550386857,1.59527966297612e-5,1.0948284220238237e-4
1932-08-31,1932-07-05,5.94821787367316e-6,8.95478515853779e-5,0.00805699378348908,0.004525763986015,6,0.0236048751442686,0.0249477074415167,0.017866844881938064,1.2748041991517713e-5,9.597049163686066e-5
