date,window_start,l1_norm,l2_norm,total_persistence,max_persistence,n_loops,mean_birth,mean_death
1929-12-21,1929-10-15,5.5884609039931e-7,1.40491348468643e-5,0.00210970322134277,0.00106374306871763,2,0.0193774614201497,0.0204323130308211
1929-12-23,1929-10-16,9.05780386037604e-7,1.83147498170866e-5,0.00328732628367209,0.00117762306232932,3,0.0194406591461141,0.0205364345740048
1929-12-24,1929-10-17,1.57487433352161e-6,2.74454607367343e-5,0.00478309727872455,0.00180399924353301,4,0.0155152152793363,0.0167109895990174
1929-12-26,1929-10-18,1.57487433352161e-6,2.74454607367343e-5,0.00478309727872455,0.00180399924353301,4,0.0155152152793363,0.0167109895990174
1929-12-27,1929-10-19,4.2572131244316e-7,1.1478797895469e-5,0.00199421938029248,0.00104596015262514,3,0.0122324717321712,0.012897211525602
1929-12-28,1929-10-21,4.2572131244316e-7,1.1478797895469e-5,0.00199421938029248,0.00104596015262514,3,0.0122324717321712,0.012897211525602
1929-12-30,1929-10-22,2.98887671541122e-7,9.84332499026718e-6,0.00148710606150394,0.00104596015262514,3,0.0122324717321712,0.0127281737526725
1929-12-31,1929-10-23,2.32234771269934e-8,1.29890396859335e-6,4.76947933929594e-4,2.48401501448545e-4,3,0.00990014401611851,0.0100591266607617
1930-01-02,1929-10-24,2.32234771269934e-8,1.29890396859335e-6,4.76947933929594e-4,2.48401501448545e-4,3,0.00990014401611851,0.0100591266607617
1930-01-03,1929-10-25,2.32234771269934e-8,1.29890396859335e-6,4.76947933929594e-4,2.48401501448545e-4,3,0.00990014401611851,0.0100591266607617
1930-01-04,1929-10-26,9.00109619453495e-9,7.40571030276667e-7,2.28546432481049e-4,1.92744407430256e-4,2,0.0105618936739929,0.0106761668902334
1930-01-06,1929-10-28,4.95944823625509e-7,1.48586429286861e-5,0.0016982829268667,0.00137976297327045,3,0.0102487705000633,0.0108148648090189
1930-01-07,1929-10-29,4.7587872776255e-7,1.47928363073867e-5,0.00145434429099975,0.00137976297327045,3,0.0102487705000633,0.0107335519303966
1930-01-08,1929-10-30,7.99052697850695e-7,1.84632281340136e-5,0.00255280771830564,0.00137976297327045,3,0.00988261602429471,0.0107335519303966
1930-01-09,1929-10-31,8.61237106742362e-7,1.873944580005e-5,0.00305585558897122,0.00137976297327045,4,0.0112436380522864,0.0120076019495292
1930-01-10,1929-11-04,8.61237106742362e-7,1.873944580005e-5,0.00305585558897122,0.00137976297327045,4,0.0112436380522864,0.0120076019495292
1930-01-11,1929-11-06,6.12256451712622e-7,1.55623564641634e-5,0.00245761849051876,0.00137976297327045,4,0.0103739485671751,0.0109883531898048
1930-01-13,1929-11-07,6.12256451712622e-7,1.55623564641634e-5,0.00245761849051876,0.00137976297327045,4,0.0103739485671751,0.0109883531898048
1930-01-14,1929-11-08,2.38375449971086e-7,6.75315735214668e-6,0.00172675474573447,6.34136067394299e-4,5,0.00990812289868025,0.0102534738478271
1930-01-15,1929-11-11,1.65792676358065e-7,5.72178049839042e-6,0.00118774912420254,6.34136067394299e-4,4,0.010827073285777,0.0111240105668277
1930-01-16,1929-11-12,1.6592782379991e-7,5.72179873902983e-6,0.00125356220811239,6.34136067394299e-4,5,0.0097988645669227,0.0100495770085452
1930-01-17,1929-11-13,1.6592782379991e-7,5.72179873902983e-6,0.00125356220811239,6.34136067394299e-4,5,0.0097988645669227,0.0100495770085452
1930-01-18,1929-11-14,6.44373566146553e-8,3.33798065044755e-6,6.19426140718088e-4,5.03047870665586e-4,4,0.00900040767668446,0.00915526421186399
1930-01-20,1929-11-15,6.44373566146553e-8,3.33798065044755e-6,6.19426140718088e-4,5.03047870665586e-4,4,0.00900040767668446,0.00915526421186399
1930-01-21,1929-11-18,2.79245451200794e-7,8.79202988689124e-6,0.00154791537331905,9.28489232600958e-4,5,0.00841231529938022,0.00872189837404403
1930-01-22,1929-11-19,2.78783023766192e-7,8.79189090515117e-6,0.00153315221222719,9.28489232600958e-4,4,0.00850418906805004,0.00888747712110684
1930-01-23,1929-11-20,4.89086247287703e-7,1.22921417469772e-5,0.00231701376016039,9.94922542307486e-4,4,0.00821810524333553,0.00879735868337563
1930-01-24,1929-11-21,2.67069037542104e-7,9.15538200614917e-6,0.0013361466165019,9.94922542307486e-4,3,0.00886026831542945,0.00930565052093008
1930-01-25,1929-11-22,2.47540145690814e-7,9.05659656340538e-6,0.00109027511292827,9.94922542307486e-4,3,0.00830388586909294,0.00866731090673569
1930-01-27,1929-11-25,6.49960021452675e-7,1.58918362404503e-5,0.00235789425187945,0.00126761913895118,4,0.00781747101428239,0.00840694457725225
1930-01-28,1929-11-26,6.54331490074753e-7,1.5895336964236e-5,0.00249535438312982,0.00126761913895118,5,0.00700080105104887,0.00749987192767484
1930-01-29,1929-11-27,6.54331490074753e-7,1.5895336964236e-5,0.00249535438312982,0.00126761913895118,5,0.00700080105104887,0.00749987192767484
1930-01-30,1929-12-02,6.54331490074753e-7,1.5895336964236e-5,0.00249535438312982,0.00126761913895118,5,0.00700080105104887,0.00749987192767484
1930-01-31,1929-12-03,4.8648592131661e-7,1.35561795872148e-5,0.00214918562318433,0.00126761913895118,6,0.00645048581782804,0.00680868342169209
1930-02-01,1929-12-04,4.92667232181761e-7,1.35715001044414e-5,0.00230691349558457,0.00126761913895118,7,0.00623324432944262,0.00656280340024042
