date,DJI,DJT,GSPC
1928-01-04,-0.005473521394740855,-0.0015658366188647539,-0.002254792387089316
1928-01-05,-0.013089648135701317,-0.002210576006263209,-0.009639995265059985
1928-01-06,0.009175748814564778,0.006688036313298182,0.0062482452639391894
1928-01-09,-0.009075558452793911,-0.010980502483444208,-0.009101314246345636
1928-01-10,-0.010625808147638128,-0.007195310939496602,-0.007456300676454714
1928-01-11,-4.557539007865962e-4,0.0023081372047503686,-0.00115207386014531
1928-01-12,0.004649055824201542,-3.6029544616032527e-4,0.0068926177530968975
1928-01-13,0.005831213426630637,0.006465539764641811,0.006276768111065644
1928-01-16,-0.020764445015117643,-0.014933726293317679,-0.016633592561831754
1928-01-17,-3.0709387077248773e-4,0.002758221970772081,5.782018085341511e-4
1928-01-18,-0.004360658442578555,-0.007128858298881174,-0.002314815848451375
1928-01-19,0.008906236891732866,0.003061450018489996,0.0069284341819639194
1928-01-20,0.009231615142922724,0.005588431280329008,0.005737250390143593
1928-01-23,0.008346370539251878,0.005917177028088739,0.009111680351255813
1928-01-24,0.006438272432896141,5.035065742049948e-4,0.003960401216096914
1928-01-25,-0.01216261645985659,-0.008376709871615593,-0.010786366286496873
1928-01-26,0.0051233222719154975,0.005640336017566468,0.006258910901533375
1928-01-27,0.0035508026605235634,-0.004553182440659191,0.0033975117619152112
1928-01-30,-0.013773214612573512,-0.006759483526693839,-0.01137021914118335
1928-01-31,0.0051494459507597234,4.37477221705709e-4,0.0045636131684952015
1928-02-01,-0.0030763823844120776,-0.007904022413755034,-0.0022792032658626588
1928-02-02,0.006143329658836617,0.0024950478930246822,0.005688297476635584
1928-02-03,-0.014665243868082324,-0.008686105403651194,-0.01313179018929551
1928-02-06,0.0016796888890500336,-0.006527244654789905,0.0028694424279529607
1928-02-07,0.0011182272182808266,-0.007694356863980628,-5.732301676024653e-4
1928-02-08,0.005117692505330009,-1.4999250065606613e-4,0.0028628705496769346
1928-02-09,0.007502363932287421,0.004116618215758552,0.0034246608813641747
1928-02-10,-0.0016567516403479064,0.0011197791472793903,-5.699629678378702e-4
1928-02-14,-0.005491889354372314,0.003203101550485352,-0.005717568463203296
1928-02-15,-0.0017192560869177332,-0.003352333008753784,-0.002296212260350379
1928-02-16,-0.006550075463310612,0.0040214531407778645,-0.0028776998276149467
1928-02-17,-0.01965184905604671,-0.01211320329340706,-0.01802898499169862
1928-02-20,-0.005992566329457291,-0.0024855961277457663,-0.005295687574710344
1928-02-21,0.007705562154393155,0.009009069942366131,0.009395254077642842
1928-02-23,0.0014511534031427836,0.0017175077962770418,0.0011682244319263049
1928-02-24,3.1068765784293223e-4,0.006692469952290782,0.002914604220080849
1928-02-27,-0.005346912315666712,-0.0020030423255612134,-0.004082828652007217
1928-02-28,0.009428656079776587,8.165386639332166e-4,0.002918006155714242
1928-02-29,0.004321883656652931,-0.0031212867195678034,0.005810591595465744
1928-03-01,1.5400806005959786e-4,-0.0011916289486337721,0.002314815848451318
1928-03-02,-0.001438331783387022,0.003496377004268484,0
1928-03-05,0.016670026378886184,0.004445769029658961,0.015486400695272635
1928-03-06,0.008607941198357899,8.129180509009328e-4,0.005675384132599232
1928-03-07,-0.0102270469963077,-5.17235020952377e-4,-0.005106394074574251
1928-03-08,0.003941987214089299,-2.217540756398709e-4,0.0034071583216143558
1928-03-09,0.015316381303407884,0.003542177712942334,0.0163062370383963
1928-03-12,0.009934593014091246,0.005949119672140457,0.0038964702791231594
1928-03-13,-0.005029100432927995,9.515096783763155e-4,-0.004454350349380197
1928-03-14,-0.006297281253985729,0.004744015027968791,5.578800702569709e-4
1928-03-15,0.009258637744196267,0.00645936128373542,0.00777781698709557
1928-03-16,0.008782961687710863,0.012366251485196572,0.010459770562685355
1928-03-19,-0.005093555923724407,0.002497771146952953,0.005461510025521943
1928-03-20,0.00767936469749694,-0.0016406894574599999,0.005431843882361821
1928-03-21,0.007524124717530722,0.002424416475595652,0.01023991701511835
1928-03-22,-5.32107885332895e-4,-7.837270181355228e-4,-0.0026845653706688757
1928-03-23,0.009103451352032091,4.988064378194068e-4,0.009630893060961366
1928-03-26,0.008593579095897296,0.0020638373336376256,0.014274627792593033
1928-03-27,9.507058998450428e-5,0.0020595866802493572,-0.005791013814777716
1928-03-28,-0.001665041653912151,0.001984549520850992,-0.00264340624451399
1928-03-29,0.003469667683869037,8.493170586270188e-4,0.0031712500150170558
1928-03-30,0.017356565621804456,0.004306243638696516,0.017264357653964377
1928-04-02,-0.02416465685646071,-0.01083618379820687,-0.019377406512033474
1928-04-03,0.0029574530237734525,0.012455047428194194,0.00580017444687817
1928-04-04,-6.193868268627705e-4,-0.002676057935028365,-0.0015785322930498378
1928-04-05,0.010902131965589772,0.007726928020448589,0.012559034776494055
1928-04-09,-0.002785319869870356,4.896988450022862e-4,0.0020779228255866132
1928-04-10,-0.010932707047899174,-0.005892272939956655,-0.00886114737369079
1928-04-11,0.01531961000070765,0.009940578880657578,0.017644463979708837
1928-04-12,-0.001554441067608273,-0.008323763653752057,-0.001544401851374136
1928-04-13,0.022375426570711,0.0025954909172670056,0.016351922853605184
1928-04-16,-0.005269008307595705,-0.005831739696475251,-0.0025374284104165983
1928-04-17,-0.01291965453235475,-0.004661683819895807,-0.008163310639160981
1928-04-18,0.0015948218587391572,7.079395422582368e-5,0
1928-04-19,0.0033221844653721698,0.005858495669207825,0.005619427303423254
1928-04-20,-0.014918976854402069,-0.01103967053733033,-0.014883518263221394
1928-04-23,-0.014134510934904806,-0.0032073011350571092,-0.009872774398493284
